dt,aor_id,aor_name,emirate,s1_orders,a1_orders,s1_users,a1_users,total_orders,total_users
20260816,500000444,Mirdif,Dubai Emirate,235,351,439,743,1187,2543
20260816,500000414,Muhaisnah / Al Mizhar,Dubai Emirate,374,146,800,357,884,2298
20260816,510040002,Naad Al Hamar,Dubai Emirate,174,103,339,220,511,1120
20260816,500001013,Al Badee Suburb Siyouh Suburb,Sharjah Emirate,839,425,1868,950,1985,4574
20260816,500001044,Al Rehmania Suburb,Sharjah Emirate,154,25,435,103,232,817
20260816,300000634,Muwaileh Commercial,Sharjah Emirate,139,188,350,528,1405,4335
20260817,510040004,AI Falah,Abu Dhabi  Emirate,423,62,1105,175,622,1670
20260817,500000590,Al Saadah,Abu Dhabi  Emirate,534,467,1050,926,1698,3744
20260817,500000603,"Al Shahama ",Abu Dhabi  Emirate,304,86,825,276,581,1865
20260817,500000611,Al Shamkhah,Abu Dhabi  Emirate,1031,320,2575,839,1831,4834
20260817,500000610,Bani Yas,Abu Dhabi  Emirate,672,205,1683,678,1303,3931
20260817,510130002,Khalifa city,Abu Dhabi  Emirate,674,406,1284,770,1697,3532
20260817,500000609,Shakhbout City,Abu Dhabi  Emirate,314,170,755,401,705,1777
20260817,500000602,Yas Island,Abu Dhabi  Emirate,91,67,219,151,344,862
20260817,500001022,Zakher,Abu Dhabi  Emirate,1291,151,2952,392,1850,4522
20260817,500000419,Al Khawaneej Al Mizhar,Dubai Emirate,340,76,752,184,552,1417
20260817,500000443,Al Warqa,Dubai Emirate,405,230,916,544,1045,2662
20260817,500000404,Arabian Ranches,Dubai Emirate,18,105,39,160,243,531
20260817,500000362,Barsha South - Arjan,Dubai Emirate,56,254,90,406,631,1155
20260817,500000424,Business Bay 1,Dubai Emirate,71,191,132,345,992,2048
20260817,500000450,Business Bay 2,Dubai Emirate,78,208,165,378,932,1842
20260817,500000386,Creek Harbor,Dubai Emirate,29,66,80,128,327,781
20260817,510260000,Damac Hills / Mudon,Dubai Emirate,22,97,49,198,332,687
20260817,500000367,Downtown,Dubai Emirate,54,118,126,251,604,1340
20260817,500000444,Mirdif,Dubai Emirate,197,294,382,618,906,2011
20260817,500000414,Muhaisnah / Al Mizhar,Dubai Emirate,377,166,826,353,855,2135
20260817,510040002,Naad Al Hamar,Dubai Emirate,157,80,317,189,411,990
20260817,500001013,Al Badee Suburb Siyouh Suburb,Sharjah Emirate,748,423,1753,904,1862,4400
20260817,500001044,Al Rehmania Suburb,Sharjah Emirate,163,32,449,101,280,890
20260817,300000634,Muwaileh Commercial,Sharjah Emirate,102,176,292,416,935,3051
20260818,510040004,AI Falah,Abu Dhabi  Emirate,442,46,1066,188,609,1673
20260818,500000590,Al Saadah,Abu Dhabi  Emirate,556,510,1016,985,1758,3761
20260818,500000603,"Al Shahama ",Abu Dhabi  Emirate,287,102,829,281,580,1869
20260818,500000611,Al Shamkhah,Abu Dhabi  Emirate,1016,318,2543,851,1815,4789
20260818,500000610,Bani Yas,Abu Dhabi  Emirate,624,235,1699,691,1305,4028
20260818,510130002,Khalifa city,Abu Dhabi  Emirate,640,383,1279,769,1699,3628
20260818,500000609,Shakhbout City,Abu Dhabi  Emirate,329,188,770,410,796,1872
20260818,500000602,Yas Island,Abu Dhabi  Emirate,97,74,202,160,375,864
20260818,500001022,Zakher,Abu Dhabi  Emirate,1262,170,2972,423,1852,4561
20260818,500000419,Al Khawaneej Al Mizhar,Dubai Emirate,319,67,752,166,504,1367
20260818,500000443,Al Warqa,Dubai Emirate,396,277,897,541,1111,2695
20260818,500000404,Arabian Ranches,Dubai Emirate,9,94,30,161,249,547
20260818,500000362,Barsha South - Arjan,Dubai Emirate,56,272,91,458,693,1270
20260818,500000424,Business Bay 1,Dubai Emirate,64,195,138,359,989,2092
20260818,500000450,Business Bay 2,Dubai Emirate,82,212,164,372,954,1853
20260818,500000386,Creek Harbor,Dubai Emirate,35,77,94,155,343,822
20260818,510260000,Damac Hills / Mudon,Dubai Emirate,23,132,54,236,386,740
20260818,500000367,Downtown,Dubai Emirate,57,151,134,298,623,1460
20260818,500000444,Mirdif,Dubai Emirate,203,324,376,669,974,2115
20260818,500000414,Muhaisnah / Al Mizhar,Dubai Emirate,342,162,756,356,812,2070
20260818,510040002,Naad Al Hamar,Dubai Emirate,149,127,306,236,466,1030
20260818,500001013,Al Badee Suburb Siyouh Suburb,Sharjah Emirate,807,408,1844,900,1889,4428
20260818,500001044,Al Rehmania Suburb,Sharjah Emirate,169,50,463,127,305,918
20260818,300000634,Muwaileh Commercial,Sharjah Emirate,123,162,313,430,997,3292
20260819,510040004,AI Falah,Abu Dhabi  Emirate,458,66,1087,179,674,1686
20260819,500000590,Al Saadah,Abu Dhabi  Emirate,599,466,1080,957,1805,3920
20260819,500000603,"Al Shahama ",Abu Dhabi  Emirate,367,107,870,290,684,1907
20260819,500000611,Al Shamkhah,Abu Dhabi  Emirate,952,320,2457,847,1766,4765
20260819,500000610,Bani Yas,Abu Dhabi  Emirate,620,240,1662,718,1295,4012
20260819,510130002,Khalifa city,Abu Dhabi  Emirate,720,451,1296,842,1852,3771
20260819,500000609,Shakhbout City,Abu Dhabi  Emirate,371,175,813,424,828,1959
20260819,500000602,Yas Island,Abu Dhabi  Emirate,78,75,203,163,332,850
20260819,500001022,Zakher,Abu Dhabi  Emirate,1307,182,3003,443,1876,4547
20260819,500000419,Al Khawaneej Al Mizhar,Dubai Emirate,269,65,708,172,480,1336
20260819,500000443,Al Warqa,Dubai Emirate,461,246,967,553,1200,2842
20260819,500000404,Arabian Ranches,Dubai Emirate,20,91,40,162,255,555
20260819,500000362,Barsha South - Arjan,Dubai Emirate,60,274,101,436,670,1239
20260819,500000424,Business Bay 1,Dubai Emirate,61,196,133,358,982,2041
20260819,500000450,Business Bay 2,Dubai Emirate,92,238,180,385,1020,1930
20260819,500000386,Creek Harbor,Dubai Emirate,41,69,94,142,343,807
20260819,510260000,Damac Hills / Mudon,Dubai Emirate,33,122,55,216,384,717
20260819,500000367,Downtown,Dubai Emirate,74,143,136,292,641,1402
20260819,500000444,Mirdif,Dubai Emirate,189,321,389,629,997,2119
20260819,500000414,Muhaisnah / Al Mizhar,Dubai Emirate,369,149,789,350,811,2093
20260819,510040002,Naad Al Hamar,Dubai Emirate,138,115,298,225,446,1010
20260819,500001013,Al Badee Suburb Siyouh Suburb,Sharjah Emirate,799,431,1792,938,1956,4511
20260819,500001044,Al Rehmania Suburb,Sharjah Emirate,162,36,452,116,269,874
20260819,300000634,Muwaileh Commercial,Sharjah Emirate,133,156,342,428,1046,3298
20260820,510040004,AI Falah,Abu Dhabi  Emirate,451,61,1031,177,654,1627
20260820,500000590,Al Saadah,Abu Dhabi  Emirate,564,496,1047,1004,1886,3962
20260820,500000603,"Al Shahama ",Abu Dhabi  Emirate,318,103,832,282,658,1871
20260820,500000611,Al Shamkhah,Abu Dhabi  Emirate,1071,358,2488,881,1953,4825
20260820,500000610,Bani Yas,Abu Dhabi  Emirate,644,239,1715,745,1371,4120
20260820,510130002,Khalifa city,Abu Dhabi  Emirate,633,437,1210,834,1790,3709
20260820,500000609,Shakhbout City,Abu Dhabi  Emirate,371,181,805,440,855,1997
20260820,500000602,Yas Island,Abu Dhabi  Emirate,116,74,273,183,428,1042
20260820,500001022,Zakher,Abu Dhabi  Emirate,1323,165,2950,422,1946,4600
20260820,500000419,Al Khawaneej Al Mizhar,Dubai Emirate,320,62,778,170,515,1390
20260820,500000443,Al Warqa,Dubai Emirate,453,272,987,583,1210,2906
20260820,500000404,Arabian Ranches,Dubai Emirate,13,93,37,178,265,595
20260820,500000362,Barsha South - Arjan,Dubai Emirate,46,278,98,449,689,1321
20260820,500000424,Business Bay 1,Dubai Emirate,64,221,130,382,1062,2218
20260820,500000450,Business Bay 2,Dubai Emirate,85,223,162,387,1031,1978
20260820,500000386,Creek Harbor,Dubai Emirate,28,68,88,145,341,809
20260820,510260000,Damac Hills / Mudon,Dubai Emirate,35,139,54,238,444,788
20260820,500000367,Downtown,Dubai Emirate,63,150,144,299,656,1394
20260820,500000444,Mirdif,Dubai Emirate,218,329,393,674,1050,2204
20260820,500000414,Muhaisnah / Al Mizhar,Dubai Emirate,349,158,794,347,782,2074
20260820,510040002,Naad Al Hamar,Dubai Emirate,153,109,303,214,470,1036
20260820,500001013,Al Badee Suburb Siyouh Suburb,Sharjah Emirate,817,501,1778,1073,2044,4624
20260820,500001044,Al Rehmania Suburb,Sharjah Emirate,174,42,457,132,301,894
20260820,300000634,Muwaileh Commercial,Sharjah Emirate,143,181,313,478,1118,3326
